,url,nameAndUniverse
0,http://marvel.wikia.com/wiki/%27Spinner_(Earth-616),'Spinner (Earth-616)
1,http://marvel.wikia.com/wiki/01100010_01110010_01110101_01110100_01100101_(Earth-616),01100010 01110010 01110101 01110100 01100101 (Earth-616)
2,http://marvel.wikia.com/wiki/107_(Earth-616),107 (Earth-616)
3,http://marvel.wikia.com/wiki/11-Ball_(Earth-616),11-Ball (Earth-616)
4,http://marvel.wikia.com/wiki/115_(Legion_Personality)_(Earth-616),115 (Legion Personality) (Earth-616)
5,http://marvel.wikia.com/wiki/14_(Earth-616),14 (Earth-616)
6,http://marvel.wikia.com/wiki/181_(Legion_Personality)_(Earth-616),181 (Legion Personality) (Earth-616)
7,http://marvel.wikia.com/wiki/1X_(Earth-616),1X (Earth-616)
8,http://marvel.wikia.com/wiki/2-D_(Earth-616),2-D (Earth-616)
9,http://marvel.wikia.com/wiki/26_(Earth-616),26 (Earth-616)
10,http://marvel.wikia.com/wiki/27_(Earth-616),27 (Earth-616)
11,http://marvel.wikia.com/wiki/2X_(Earth-616),2X (Earth-616)
12,http://marvel.wikia.com/wiki/302_(Legion_Personality)_(Earth-616),302 (Legion Personality) (Earth-616)
13,http://marvel.wikia.com/wiki/3X_(Earth-616),3X (Earth-616)
14,http://marvel.wikia.com/wiki/6-Ball_(Earth-616),6-Ball (Earth-616)
15,http://marvel.wikia.com/wiki/6R_(Earth-616),6R (Earth-616)
16,http://marvel.wikia.com/wiki/7-X9_(Earth-616),7-X9 (Earth-616)
17,http://marvel.wikia.com/wiki/762_(Legion_Personality)_(Earth-616),762 (Legion Personality) (Earth-616)
18,http://marvel.wikia.com/wiki/8-Ball_(Hobgoblin)_(Earth-616),8-Ball (Hobgoblin) (Earth-616)
19,http://marvel.wikia.com/wiki/8-Ball_II_(Earth-616),8-Ball II (Earth-616)
20,http://marvel.wikia.com/wiki/803_(Earth-616),803 (Earth-616)
21,http://marvel.wikia.com/wiki/88_(Earth-616),88 (Earth-616)
22,http://marvel.wikia.com/wiki/9-Ball_(Earth-616),9-Ball (Earth-616)
23,http://marvel.wikia.com/wiki/933_(Legion_Personality)_(Earth-616),933 (Legion Personality) (Earth-616)
24,http://marvel.wikia.com/wiki/99_(Earth-616),99 (Earth-616)
25,http://marvel.wikia.com/wiki/A_Friend_(Earth-616),A Friend (Earth-616)
26,http://marvel.wikia.com/wiki/A%27di_(Earth-616),A'di (Earth-616)
27,http://marvel.wikia.com/wiki/A%27ishah_(Earth-616),A'ishah (Earth-616)
28,http://marvel.wikia.com/wiki/A%27kane_(Earth-616),A'kane (Earth-616)
29,http://marvel.wikia.com/wiki/A%27Kurru_U%27mbaya_(Earth-616),A'Kurru U'mbaya (Earth-616)
30,http://marvel.wikia.com/wiki/A%27Lars_(Earth-616),A'Lars (Earth-616)
31,http://marvel.wikia.com/wiki/A%27Sai_(Earth-616),A'Sai (Earth-616)
32,http://marvel.wikia.com/wiki/A%27yin_(Earth-616),A'yin (Earth-616)
33,http://marvel.wikia.com/wiki/A-14_(Earth-616),A-14 (Earth-616)
34,http://marvel.wikia.com/wiki/A._G._Bell_(Earth-616),A. G. Bell (Earth-616)
35,http://marvel.wikia.com/wiki/A._Summers_(Earth-616),A. Summers (Earth-616)
36,http://marvel.wikia.com/wiki/A.C._O%27Connor_(Earth-616),A.C. O'Connor (Earth-616)
37,http://marvel.wikia.com/wiki/A.J._Patton_(Earth-616),A.J. Patton (Earth-616)
38,http://marvel.wikia.com/wiki/A.J._Raffles_(Earth-616),A.J. Raffles (Earth-616)
39,http://marvel.wikia.com/wiki/A.P.E._(Earth-616),A.P.E. (Earth-616)
40,http://marvel.wikia.com/wiki/A3_(Earth-616),A3 (Earth-616)
41,http://marvel.wikia.com/wiki/Aa-Gorn_(Earth-616),Aa-Gorn (Earth-616)
42,http://marvel.wikia.com/wiki/Aa-Thak_(Earth-616),Aa-Thak (Earth-616)
43,http://marvel.wikia.com/wiki/Aahmes_(Earth-616),Aahmes (Earth-616)
44,http://marvel.wikia.com/wiki/Aaidan_Blomfield_(Earth-616),Aaidan Blomfield (Earth-616)
45,http://marvel.wikia.com/wiki/Aala_(Deity)_(Earth-616),Aala (Deity) (Earth-616)
46,http://marvel.wikia.com/wiki/Aala_(Earth-616),Aala (Earth-616)
47,http://marvel.wikia.com/wiki/Aalbort_(Earth-616),Aalbort (Earth-616)
48,http://marvel.wikia.com/wiki/Aaliyah_Hardin_(Earth-616),Aaliyah Hardin (Earth-616)
49,http://marvel.wikia.com/wiki/Aamir_(Earth-616),Aamir (Earth-616)
50,http://marvel.wikia.com/wiki/Aamir_Khan_(Earth-616),Aamir Khan (Earth-616)
51,http://marvel.wikia.com/wiki/Aamshed_(Earth-616),Aamshed (Earth-616)
52,http://marvel.wikia.com/wiki/Aan_Taanu_(Earth-616),Aan Taanu (Earth-616)
53,http://marvel.wikia.com/wiki/Aardvark_(Earth-616),Aardvark (Earth-616)
54,http://marvel.wikia.com/wiki/Aarkus_(Earth-616),Aarkus (Earth-616)
55,http://marvel.wikia.com/wiki/Aaron_Amberson_(Earth-616),Aaron Amberson (Earth-616)
56,http://marvel.wikia.com/wiki/Aaron_Carpenter_(Earth-616),Aaron Carpenter (Earth-616)
57,http://marvel.wikia.com/wiki/Aaron_Cashin_(Earth-616),Aaron Cashin (Earth-616)
58,http://marvel.wikia.com/wiki/Aaron_Chord_(Earth-616),Aaron Chord (Earth-616)
59,http://marvel.wikia.com/wiki/Aaron_Downing_(Earth-616),Aaron Downing (Earth-616)
60,http://marvel.wikia.com/wiki/Aaron_English_(Earth-616),Aaron English (Earth-616)
61,http://marvel.wikia.com/wiki/Aaron_Heller_(Earth-616),Aaron Heller (Earth-616)
62,http://marvel.wikia.com/wiki/Aaron_Isaacs_(Earth-616),Aaron Isaacs (Earth-616)
63,http://marvel.wikia.com/wiki/Aaron_Jay_(Earth-616),Aaron Jay (Earth-616)
64,http://marvel.wikia.com/wiki/Aaron_Kearse_(Earth-616),Aaron Kearse (Earth-616)
65,http://marvel.wikia.com/wiki/Aaron_MacKenzie_(Earth-616),Aaron MacKenzie (Earth-616)
66,http://marvel.wikia.com/wiki/Aaron_Nicholson_(Earth-616),Aaron Nicholson (Earth-616)
67,http://marvel.wikia.com/wiki/Aaron_Rosenberg_(Earth-616),Aaron Rosenberg (Earth-616)
68,http://marvel.wikia.com/wiki/Aaron_Salomon_(Earth-616),Aaron Salomon (Earth-616)
69,http://marvel.wikia.com/wiki/Aaron_Soames_(Earth-616),Aaron Soames (Earth-616)
70,http://marvel.wikia.com/wiki/Aaron_Stankey_(Earth-616),Aaron Stankey (Earth-616)
71,http://marvel.wikia.com/wiki/Aaron_the_Aakon_(Earth-616),Aaron the Aakon (Earth-616)
72,http://marvel.wikia.com/wiki/Aaron_the_Sorcerer_(Earth-616),Aaron the Sorcerer (Earth-616)
73,http://marvel.wikia.com/wiki/Aaron_Thorne_(Earth-616),Aaron Thorne (Earth-616)
74,http://marvel.wikia.com/wiki/Aaron_Verne_(Earth-616),Aaron Verne (Earth-616)
75,http://marvel.wikia.com/wiki/Abadon_(Earth-616),Abadon (Earth-616)
76,http://marvel.wikia.com/wiki/Abahla_(Earth-616),Abahla (Earth-616)
77,http://marvel.wikia.com/wiki/Aban_(Earth-616),Aban (Earth-616)
78,http://marvel.wikia.com/wiki/Abarac_(Earth-616),Abarac (Earth-616)
79,http://marvel.wikia.com/wiki/Abbadona_(Angel)_(Earth-616),Abbadona (Angel) (Earth-616)
80,http://marvel.wikia.com/wiki/Abbadona_Hellgore_(Earth-616),Abbadona Hellgore (Earth-616)
81,http://marvel.wikia.com/wiki/Abbas_al-Abbad_(Earth-616),Abbas al-Abbad (Earth-616)
82,http://marvel.wikia.com/wiki/Abbess_Horror_(Earth-616),Abbess Horror (Earth-616)
83,http://marvel.wikia.com/wiki/Abbey_Sykes_(Earth-616),Abbey Sykes (Earth-616)
84,http://marvel.wikia.com/wiki/Abby_Levine_(Earth-616),Abby Levine (Earth-616)
85,http://marvel.wikia.com/wiki/Abby_Rubin_(Earth-616),Abby Rubin (Earth-616)
86,http://marvel.wikia.com/wiki/Abby-L_(Earth-616),Abby-L (Earth-616)
87,http://marvel.wikia.com/wiki/Abd-el-Hazred_(Earth-616),Abd-el-Hazred (Earth-616)
88,http://marvel.wikia.com/wiki/Abdi_(Earth-616),Abdi (Earth-616)
89,http://marvel.wikia.com/wiki/Abdol_(Earth-616),Abdol (Earth-616)
90,http://marvel.wikia.com/wiki/Abdul_(Earth-616),Abdul (Earth-616)
91,http://marvel.wikia.com/wiki/Abdul_(Mohammedan)_(Earth-616),Abdul (Mohammedan) (Earth-616)
92,http://marvel.wikia.com/wiki/Abdul_Faoul_(Earth-616),Abdul Faoul (Earth-616)
93,http://marvel.wikia.com/wiki/Abdul_Hurani_(Earth-616),Abdul Hurani (Earth-616)
94,http://marvel.wikia.com/wiki/Abdul_Qamar_(Earth-616),Abdul Qamar (Earth-616)
